pi.mu^2.I \ thetaD	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.10	0.026527424	0.026528123	0.02653024	0.026533811	0.026538861	0.02654538	0.026553308	0.02656252	0.026572828	0.026583975	0.026595641	0.026607456	0.026619003	0.026629843	0.026639528	0.026647626	0.026653744	0.026657562	0.026658862
0.20	0.089709834	0.089719624	0.089749216	0.089798995	0.089869087	0.089959069	0.090067795	0.090193306	0.09033281	0.090482722	0.090638742	0.090795964	0.090949025	0.091092279	0.091220011	0.091326688	0.091407267	0.091457562	0.091474683
0.30	0.170873814	0.170917244	0.171048352	0.17126826	0.171576554	0.171970175	0.17244287	0.172985046	0.173583887	0.174223633	0.174885962	0.175550451	0.176195097	0.176796921	0.177332698	0.177779855	0.17811763	0.178328557	0.178400398
0.40	0.25751538	0.257635861	0.257999084	0.258606544	0.25945446	0.260531229	0.2618166	0.263281882	0.264890708	0.266600038	0.268361247	0.270121216	0.271823453	0.27340932	0.27481954	0.275996165	0.27688531	0.277440973	0.277630358
0.50	0.341586685	0.3418453	0.342623916	0.343922254	0.345726667	0.348005972	0.350711138	0.353776921	0.357124255	0.360662712	0.364292716	0.367907446	0.371394543	0.374637896	0.377519893	0.379924694	0.381743234	0.38288089	0.383268962
0.60	0.418215347	0.418687648	0.420107651	0.422468456	0.425735297	0.429840503	0.43468554	0.440145921	0.446076613	0.452316742	0.458693224	0.465023349	0.471116714	0.476777078	0.481804958	0.486002088	0.48917923	0.491169365	0.491848918
0.70	0.484753555	0.485525521	0.487843232	0.491684928	0.496978136	0.503595923	0.511364369	0.520073303	0.529486284	0.53934822	0.549390338	0.55933293	0.568886703	0.577753797	0.585629913	0.59220947	0.597196495	0.600325064	0.601394586
0.80	0.540077532	0.541241451	0.544730936	0.550497333	0.558408475	0.568250164	0.579743396	0.592563931	0.60635834	0.620754786	0.635368808	0.649805237	0.663657748	0.676507779	0.687925016	0.697472401	0.704720072	0.7092747	0.710833753
0.90	0.584076254	0.585726936	0.590668518	0.598809474	0.609930926	0.623699267	0.639698537	0.657461975	0.676495213	0.696289908	0.716329272	0.736087736	0.755027182	0.77259224	0.788207694	0.801282205	0.81122492	0.817485181	0.819631139
1.00	0.617282472	0.619514019	0.626184518	0.637139747	0.652042753	0.670405596	0.691643028	0.715118934	0.740177082	0.766156623	0.792395747	0.818227367	0.842970311	0.865919359	0.886337982	0.903459403	0.916505161	0.924736367	0.927562317
1.10	0.640610127	0.64351334	0.652178292	0.666364643	0.68558258	0.709153592	0.736291953	0.76616836	0.797947781	0.830805087	0.863924817	0.896490919	0.927671169	0.956600283	0.982366383	1.004007841	1.020532735	1.030982445	1.034575999
1.20	0.655170782	0.658831201	0.669739016	0.687541153	0.711557759	0.740883625	0.774503908	0.811376293	0.850474494	0.890801639	0.931383779	0.971251717	1.009416956	1.044846385	1.076440882	1.103026262	1.123372262	1.136268763	1.140711525
1.30	0.662148252	0.666644787	0.680022696	0.701786843	0.73102883	0.766582061	0.807177576	0.851544865	0.89845856	0.946746618	0.995275089	1.042920112	1.088533944	1.130909868	1.168751466	1.200655944	1.225130922	1.240683058	1.246050531
1.40	0.662715725	0.668119785	0.684171338	0.710201663	0.745035022	0.787211315	0.835186904	0.887452826	0.942581228	0.999225044	1.056091499	1.111902607	1.16535007	1.215049328	1.259498186	1.297050724	1.325929899	1.344327748	1.350689528
1.50	0.657983519	0.664358574	0.683262422	0.71381958	0.754548849	0.803667994	0.859343071	0.91982129	0.983472957	1.048779071	1.11429126	1.178579384	1.240174445	1.297510951	1.348873738	1.392360701	1.425888914	1.447304966	1.454725101
1.60	0.648968647	0.656370126	0.678279829	0.713581208	0.760451011	0.81676041	0.880374663	0.949296414	1.021698235	1.095894586	1.170286126	1.243293433	1.313287381	1.378519273	1.437054864	1.486724166	1.525118546	1.549709127	1.558246555
1.70	0.636579598	0.64505505	0.670099674	0.710320929	0.763519164	0.827199151	0.898919955	0.976443106	1.057750382	1.140996735	1.22443733	1.306346774	1.384936759	1.458273659	1.52419894	1.580264312	1.623717063	1.65162384	1.661332859
1.80	0.6216115	0.631200949	0.659486235	0.704763735	0.764425903	0.835596191	0.915526956	1.001745689	1.092052484	1.184450855	1.277056301	1.368000851	1.455338072	1.536948048	1.610443498	1.673088627	1.721769758	1.753121224	1.764051952
1.90	0.604748127	0.615484558	0.647094493	0.697528383	0.763742599	0.842469323	0.930658175	1.025612687	1.124961906	1.226566471	1.328408017	1.428479206	1.524676466	1.614692447	1.695907318	1.765289708	1.819349594	1.854262465	1.866461276
2.00	0.586568192	0.598478125	0.633476752	0.689134378	0.761946734	0.848249667	0.944698031	1.048383832	1.156776636	1.267602828	1.378715651	1.487971253	1.593109721	1.691635256	1.780692237	1.856946721	1.916518448	1.955098948	1.968608869
2.10	0.567554119	0.580658228	0.619091592	0.680011083	0.759431094	0.853290728	0.957961495	1.070338027	1.187742373	1.307774987	1.428165669	1.546636428	1.660771557	1.767885872	1.864885217	1.948127083	2.013328554	2.055673567	2.07053464
2.20	0.548102018	0.562415763	0.604313893	0.670507764	0.756513686	0.857877964	0.970703043	1.09170145	1.218059646	1.347259908	1.476912876	1.604608283	1.727774903	1.84353727	1.948560391	2.038888137	2.109823937	2.156022035	2.17227163
2.30	0.528532007	0.544066259	0.589445122	0.660903766	0.753447659	0.86223821	0.983125341	1.112655329	1.247890566	1.386202155	1.525085142	1.661998317	1.79421494	1.9186684	2.031780965	2.12927869	2.206041726	2.256174074	2.27384717
2.40	0.509098303	0.52585995	0.574723315	0.651418322	0.750430751	0.866548545	0.995387323	1.133343079	1.277364976	1.424719075	1.572787657	1.718899401	1.86017182	1.993346325	2.114600894	2.219340372	2.302013307	2.356154455	2.375283882
2.50	0.489998738	0.507991245	0.560332445	0.642219687	0.747614013	0.870944382	1.007611482	1.153876696	1.30658591	1.462905359	1.62010667	1.775388792	1.925713051	2.067628082	2.19706635	2.309108811	2.397765306	2.455983881	2.476600536
2.60	0.471383482	0.490607416	0.546410965	0.633433416	0.745109642	0.875526683	1.019890308	1.174342348	1.335634345	1.500836992	1.667112714	1.831530721	1.990895542	2.141562282	2.27921696	2.398614611	2.493320412	2.555679724	2.577812751
2.70	0.453362888	0.473816394	0.533059459	0.625149738	0.742997908	0.880368263	1.032291865	1.194805187	1.36457326	1.538574624	1.713863358	1.887378592	2.055767336	2.215190458	2.361086852	2.487884186	2.588698058	2.655256628	2.678933582
2.80	0.436014419	0.457693644	0.520347372	0.617430006	0.741333166	0.885519223	1.044864563	1.215313434	1.39345107	1.576166405	1.760405511	1.942976841	2.120369074	2.288548199	2.442705533	2.576940435	2.68391498	2.754727002	2.779973991
2.90	0.419388697	0.442288169	0.508318851	0.610312266	0.740149007	0.891011566	1.057641176	1.235901805	1.422304493	1.613650352	1.806777353	1.998362478	2.184735217	2.361666098	2.524098612	2.665803311	2.778985676	2.854101424	2.880943225
3.00	0.403514699	0.427627657	0.496997765	0.603816014	0.739462629	0.896863082	1.0706422	1.25659435	1.451160924	1.651056311	1.853009937	2.053566376	2.248895061	2.434570544	2.605288406	2.754490283	2.873922775	2.953388958	2.981849133
3.10	0.388404197	0.413722878	0.486391957	0.597946208	0.73927849	0.90308057	1.08387862	1.277406796	1.480040384	1.688407567	1.899128504	2.108614338	2.312873585	2.507284374	2.686294443	2.843016719	2.968737344	3.052597422	3.082698407
3.20	0.374055496	0.400571385	0.476496819	0.592696619	0.739591343	0.909662488	1.097354176	1.298348446	1.508957109	1.725722163	1.945153571	2.163527978	2.376692153	2.579827425	2.767133872	2.931396201	3.063439133	3.151733595	3.183496787
3.30	0.360456561	0.388160595	0.467298269	0.588052608	0.740388725	0.916601119	1.111067197	1.319423719	1.537920836	1.763013967	1.991101811	2.21832544	2.440369092	2.652216983	2.847821816	3.019640785	3.158036779	3.25080339	3.284249222
3.40	0.347587607	0.376470354	0.458775203	0.583993394	0.741652976	0.923884308	1.12501207	1.340633387	1.566937834	1.800293541	2.036986781	2.273022	2.503920177	2.724468165	2.928371656	3.107761216	3.252537971	3.349811995	3.38496
3.50	0.335423218	0.365475024	0.450901498	0.580493899	0.74336287	0.931496849	1.139180408	1.361975547	1.596011731	1.837568836	2.082819507	2.327630552	2.56735903	2.796594234	3.00879527	3.195767109	3.346949586	3.448763984	3.485632856
3.60	0.323934077	0.355145181	0.443647627	0.577526227	0.745494899	0.939421582	1.153561963	1.383446399	1.625144171	1.874845755	2.128608964	2.382162015	2.630697451	2.868606864	3.089103243	3.283667099	3.441277802	3.547663408	3.586271058
3.70	0.313088347	0.345448984	0.436981956	0.57506083	0.748024291	0.947640244	1.168145345	1.405040842	1.654335326	1.912128601	2.174362464	2.436625663	2.693945698	2.940516362	3.169305029	3.371468964	3.535528193	3.646513878	3.686877478
3.80	0.302852774	0.336353249	0.430871763	0.57306743	0.750925789	0.956134116	1.182918558	1.426752944	1.683584303	1.949420429	2.220085969	2.491029398	2.757112713	3.012331855	3.249409102	3.459179736	3.629705806	3.74531862	3.787454652
3.90	0.29319355	0.327824299	0.42528403	0.571515718	0.754174248	0.964884516	1.197869414	1.448576289	1.712889458	1.986723335	2.265784345	2.545379974	2.82020632	3.084061449	3.329423074	3.546805786	3.723815227	3.844080535	3.888004827
4.00	0.284076977	0.319828612	0.420186052	0.570375887	0.757745069	0.97387316	1.212985834	1.470504245	1.742248637	2.024038677	2.311461573	2.599683186	2.883233381	3.155712361	3.409353802	3.634352907	3.817860636	3.942802235	3.988529999
